Date (date),Country Name (country_name),ISO Alpha 3 Code (alpha_3_code),Country Code (country_code),Region Name (region_name),Region Code (region_code),Sub-Region Name (subregion_name),Sub Region Code (subregion_code),Harmonized System Code (hs_code),Commodity Name (commodity),Quantity unit (unit),Commodity quantity (value_qt),Quantity value (INR) (value_rs),Quantity value (USD) (value_dl)
"2017-08-01","Thailand","THA","764","Asia","142","South-eastern Asia","35","32041216","Acid Greens(Azo)","Kgs",0.2,0.76,0
"2015-05-01","Nepal","NPL","524","Asia","142","Southern Asia","34","87042190","*Other Goods Vhcls,Wth Cmprsn Igntn Intrnl Cmbstn Pstn Engnwth G.V.W. <= 5 Ton","Nos",0.34,1404.3,2.2
"2020-03-01","Hong Kong","HKG","344","Asia","142","Eastern Asia","30","63013000","Blankets(Other Than Electric Blankets) And Travelling Rugs,Of Cotton","Nos",1.16,7.78,0.01
"2019-06-01","Japan","JPN","392","Asia","142","Eastern Asia","30","55092100","Single Yrn Cntng 85% Or More By Wt Of Polyster Staple Fibres","Kgs",38.55,66.96,0.1
"2015-03-01","Qatar","QAT","634","Asia","142","Western Asia","145","39239090","Othr Artcls For Cnvynce/Pckng Of Goods Nes","Kgs",20,36.04,0.06
"2020-08-01","Thailand","THA","764","Asia","142","South-eastern Asia","35","29157040","Hco Fatty Acid(Incl 12-Hydroxy Stearc Acd)","Kgs",830,884.08,1.18
"2025-09-01","Brunei Darussalam","BRN","96","Asia","142","South-eastern Asia","35","57031010","Carpets","Sqm",29,0,0
"2016-12-01","Pakistan","PAK","586","Asia","142","Southern Asia","34","84454030","Regenerated Fibrs And Synthtc Fibrs Reelng (Including Wft-Wndng)Mchns","Nos",0,2.71,0
"2025-02-01","Islamic Republic of Iran","IRN","364","Asia","142","Southern Asia","34","12024210","Kernels, H.P.S","Kgs",897300,7.08,0.81
"2018-11-01","Japan","JPN","392","Asia","142","Eastern Asia","30","94051090","*Other Lighting Fittings Fr Lghtng Publc Sp","Nos",0,0.01,""
"2024-11-01","Taiwan, Province of China","TWN","158","Asia","142","Eastern Asia","30","48192020","Boxes Of Non-Crrugated Paper And Paperboard","Kgs",226,0,0
"2019-02-01","Taiwan, Province of China","TWN","158","Asia","142","Eastern Asia","30","90291090","Other","Nos",0.5,0.69,0
"2018-07-01","Saudi Arabia","SAU","682","Asia","142","Western Asia","145","73239490","Other Household Articles Of Iron N.E.S. (Other Than Cast Iron)Or Steel,Enamelled","Kgs",87.49,180.68,0.26
"2020-01-01","Bhutan","BTN","64","Asia","142","Southern Asia","34","22029920","Fruit Pulp Or Fruit Juice Based Drink","Ltr",65.92,47.99,0.07
"2024-12-01","Philippines","PHL","608","Asia","142","South-eastern Asia","35","73259999","Other Cast Articles Of Iron Or Steel N.E.S","Kgs",625,0.02,0
"2020-09-01","Turkiye","TUR","792","Asia","142","Western Asia","145","85414019","*Other Photocells","Nos",1.45,76.75,0.1
"2018-11-01","Israel","ISR","376","Asia","142","Western Asia","145","58101000","Embroidery Without Visible Ground","Kgs",0.26,17.89,0.02
"2016-12-01","Republic of Korea","KOR","410","Asia","142","Eastern Asia","30","84553000","Rolls For Rolling Mills","Nos",0.01,12.05,0.02
"2019-05-01","Bangladesh","BGD","50","Asia","142","Southern Asia","34","85353090","Isltng And Make-And-Brk Swtchs Of Othr Matrls","Kgs",0.38,163.48,0.23
"2017-06-01","Thailand","THA","764","Asia","142","South-eastern Asia","35","29319090","Other","Kgs",94.24,153.91,0.24
"2020-01-01","Bangladesh","BGD","50","Asia","142","Southern Asia","34","79050020","Plates Of Zinc","Kgs",0.63,0.88,0
"2025-04-01","Malaysia","MYS","458","Asia","142","South-eastern Asia","35","32062000","Pigmnts And Prptns Basd On Chrom Compnd","Kgs",21000,0.6,0.07
"2020-09-01","Sri Lanka","LKA","144","Asia","142","Southern Asia","34","70072190","Other","Kgs",35.87,101.75,0.14
"2017-06-01","Cambodia","KHM","116","Asia","142","South-eastern Asia","35","40101290","(Cnvyr Blt/Bltng)Renfrcd Wth Txtl Mtrls Where Rubr Compd Content More Than 25% By Weight","Kgs",0.01,0.02,""
"2017-03-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","73261910","Other Articles Forged Or Stamped For Automobiles And Earth Moving Equipments","Kgs",0.1,0.16,0
"2016-05-01","Thailand","THA","764","Asia","142","South-eastern Asia","35","30049049","Other Anticancer Drugs","Kgs",0.97,343.72,0.51
"2021-12-01","Yemen","YEM","887","Asia","142","Western Asia","145","73211190","Other Cooking Apparatus Of Iron Or Steel","Nos",0.11,1.1,0
"2025-06-01","Bangladesh","BGD","50","Asia","142","Southern Asia","34","32151910","Other Lithographic Ink And Jelly","Kgs",29109,0.75,0.09
"2024-08-01","Malaysia","MYS","458","Asia","142","South-eastern Asia","35","38190010","Brake Fluids (Hydraulic Fluids)","Kgs",9992,0.15,0.02
"2025-09-01","Singapore","SGP","702","Asia","142","South-eastern Asia","35","84314920","Prts Of Ships Derricks And Cranes","Kgs",1721,0.21,0.02
"2021-11-01","Israel","ISR","376","Asia","142","Western Asia","145","30021230","For Rabies","Kgs",0,0.33,0
"2016-02-01","Nepal","NPL","524","Asia","142","Southern Asia","34","83081010","Hooks And Eyes","Kgs",0.32,0.52,0
"2018-12-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","68053000","Natural Or Artificals Abrasive Powder Or Grain On A Base Of Other Materials","Kgs",1.84,11.2,0.02
"2024-05-01","Qatar","QAT","634","Asia","142","Western Asia","145","73042910","Casing, Tubing Of Iron","Kgs",3374,0.25,0.03
"2019-10-01","Japan","JPN","392","Asia","142","Eastern Asia","30","30051010","Adhesive Gauze Bandage","Kgs",0.01,0.24,0
"2024-04-01","Malaysia","MYS","458","Asia","142","South-eastern Asia","35","54041990","Other","Kgs",2073,0.15,0.02
"2020-10-01","Maldives","MDV","462","Asia","142","Southern Asia","34","90183990","Others","Nos",17.03,37.55,0.05
"2020-12-01","Qatar","QAT","634","Asia","142","Western Asia","145","29270090","Other Diazo-Azo-Or Azoxy-Compounds","Kgs","",0.06,""
"2020-01-01","Nepal","NPL","524","Asia","142","Southern Asia","34","84212900","Othr Fltrng/Purfyng Mchnry And Apprts Fr Lqd","Nos",22.4,140.93,0.2
"2020-12-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","58071020","Label Badges Etc Of Man-Made Fibre Woven","Kgs",0.19,5.38,0.01
"2016-02-01","Saudi Arabia","SAU","682","Asia","142","Western Asia","145","73141910","Wire Gauze(Wire Cloth Wire Mesh)","Kgs",0.01,0.13,0
"2019-02-01","Nepal","NPL","524","Asia","142","Southern Asia","34","95062900","Othr Watr-Sport Equpmnts(Surf-Boards Water-Skis Etc)","Nos",0.61,1.85,0
"2025-01-01","Nepal","NPL","524","Asia","142","Southern Asia","34","38091000","Prpns Wth A Basis Of Amylaceous Sbstncs","Kgs",11669,0.21,0.02
"2025-02-01","Hong Kong","HKG","344","Asia","142","Eastern Asia","30","30049089","Tranquilizers","Kgs",585,0.21,0.02
"2020-03-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","25070010","Kaolin (China Clay) Crude","Kgs",96.1,26.43,0.04
"2015-05-01","Hong Kong","HKG","344","Asia","142","Eastern Asia","30","85211019","Othr Cassette Tape-Type Video Tape Recordr","Nos",0,0.28,0
"2025-04-01","China","CHN","156","Asia","142","Eastern Asia","30","90179000","Parts And Accessories Of Artcls Of Hdg 9017","Kgs",102,0.05,0.01
"2017-12-01","Bhutan","BTN","64","Asia","142","Southern Asia","34","84714190","Othr Dgtl Automatc Data-Procesng Machine Comprisng A Central Procesng Unit And An Input And Output Unit Wh/Not Combi","Nos",0,6.04,0.01
"2016-11-01","China","CHN","156","Asia","142","Eastern Asia","30","52121100","Othr Unblched Woven Fabrics Of Cotton Weighing Not More Than 200 G/M2","Sqm",286,18.96,0.03
"2021-11-01","China","CHN","156","Asia","142","Eastern Asia","30","58062000","Othr Narrow Wvn Fbrcs Cntng By Wt 5% Or More Of Elastomrc Yrn/Rubr Thrd","Kgs",0.09,1.55,0
"2018-06-01","Viet Nam","VNM","704","Asia","142","South-eastern Asia","35","28273100","Chlorides Of Magnesium","Kgs",38,3.18,0
"2016-10-01","Pakistan","PAK","586","Asia","142","Southern Asia","34","29411030","Amoxycilline And Its Salts","Kgs",0.3,12.1,0.02
"2015-03-01","Nepal","NPL","524","Asia","142","Southern Asia","34","29012910","Acetylene W/N In Dissolved Condition","Kgs",0.01,0.09,0
"2025-09-01","Maldives","MDV","462","Asia","142","Southern Asia","34","90181990","Othr Elctro-Diagnostc Apprts","Nos",239,0.03,0
"2015-08-01","Japan","JPN","392","Asia","142","Eastern Asia","30","72210090","Brght Bars N.E.S.","Kgs",1,1.42,0
"2017-02-01","Hong Kong","HKG","344","Asia","142","Eastern Asia","30","64035119","Othr Ankle Cvrd All Lthr Shoes","Prs",0.26,1.5,0
"2018-02-01","Philippines","PHL","608","Asia","142","South-eastern Asia","35","84178090","Othr Furnaces And Ovens","Nos",0,0.27,0
"2021-02-01","Nepal","NPL","524","Asia","142","Southern Asia","34","84678920","Vibrators,Non-Electric","Nos",0.01,1.41,0
"2024-08-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","3034300","Skipjack Tuna( Stripe-Bellied Bonito), (Katsuwonuspelamis)","Kgs",84000,0.97,0.12
"2018-01-01","Thailand","THA","764","Asia","142","South-eastern Asia","35","69091100","Cermc Wares Fr Labrtry Etc Of Porcelain","Kgs",0.35,0.82,0
"2020-12-01","Turkiye","TUR","792","Asia","142","Western Asia","145","25252050","Mica Powdr Calcined","Kgs",0.03,0.02,""
"2015-10-01","Indonesia","IDN","360","Asia","142","South-eastern Asia","35","38249017","*Surface Tension Recucing Agents","Kgs",1.92,1.66,0
"2024-04-01","Maldives","MDV","462","Asia","142","Southern Asia","34","30049031","Promethazine, Chlorpheniramine, Astemizole And Ceteirizine","Kgs",71,0.06,0.01
"2015-09-01","China","CHN","156","Asia","142","Eastern Asia","30","73209090","Others Of Other Springs Of Iron/Steel","Kgs",0.31,2.05,0
"2025-02-01","Bangladesh","BGD","50","Asia","142","Southern Asia","34","39119090","Other Products In Rimary Forms Nes","Kgs",23500,0.52,0.06
"2024-06-01","Kyrgyzstan","KGZ","417","Asia","142","Central Asia","143","73239990","Other Household Utensils And Its Parts N.E.S","Nos",4367,0.17,0.02
"2020-09-01","Indonesia","IDN","360","Asia","142","South-eastern Asia","35","27101949","High Flash High Speed Diesel Fuel Conforming To Standard Is 16861","Kgs",49,16.34,0.02
"2016-04-01","Hong Kong","HKG","344","Asia","142","Eastern Asia","30","8011920","Coconut ,Dried Excl. Desiccated And Endocarp","Kgs",18.59,27.67,0.04
"2021-08-01","Singapore","SGP","702","Asia","142","South-eastern Asia","35","10085000","Quinoa(Chenopodium Quinoa)","Kgs",0.18,0.46,0
"2025-03-01","Nepal","NPL","524","Asia","142","Southern Asia","34","85258900","Television Cameras, Digital Cameras And Vidcamera Recorders Others","Nos",3641,0.74,0.09
"2024-10-01","Bangladesh","BGD","50","Asia","142","Southern Asia","34","60062400","Othr Knited Or Crochetd Fbrcs Of Cotton , Printd","Kgs",49874,3.1,0.37
"2016-07-01","Republic of Korea","KOR","410","Asia","142","Eastern Asia","30","29362920","Nctnc Acid And Nctnmd(Niacinamide/Niacine","Kgs",69,299.06,0.44
"2019-04-01","Thailand","THA","764","Asia","142","South-eastern Asia","35","29094400","Other Monoalkyl Ethrs Of Ethylene Glycol Or Of Diethylene Glycol","Kgs",15.7,14.63,0.02
"2017-09-01","Bahrain","BHR","48","Asia","142","Western Asia","145","2042100","Crcs And Hlf Crcs Of Sheep,Frsh Or Chld","Kgs",14.68,59.92,0.09
"2016-07-01","Islamic Republic of Iran","IRN","364","Asia","142","Southern Asia","34","87149100","Frames,Forks And Prts Thereof","Nos",0.3,0.62,0
"2019-03-01","Lebanon","LBN","422","Asia","142","Western Asia","145","90173010","Calipers And Micrometers","Nos",0,0.14,0
"2021-07-01","Thailand","THA","764","Asia","142","South-eastern Asia","35","99930090","Special Transactions N.E.S.","","",0.02,""
"2017-05-01","Indonesia","IDN","360","Asia","142","South-eastern Asia","35","42032110","Gloves For Sports","Kgs",0.15,4.72,0.01
"2024-09-01","Republic of Korea","KOR","410","Asia","142","Eastern Asia","30","39262029","Other Apron","Kgs",1,0,0
"2025-03-01","Bangladesh","BGD","50","Asia","142","Southern Asia","34","90189032","Blood Transfusion Apparatus Incl Plastic Container / Bags","Nos",7920,0.12,0.01
"2024-09-01","Oman","OMN","512","Asia","142","Western Asia","145","61046200","Trsrs,Bibs,Brc Ovrlls,Brchs,Shrts Of Cotn","Nos",2212,0.18,0.02
"2018-01-01","Afghanistan","AFG","4","Asia","142","Southern Asia","34","85123010","Horns","Nos",0.6,1.47,0
"2025-01-01","China","CHN","156","Asia","142","Eastern Asia","30","64039990","Lthr Sandals With Othr Sole","Prs",2091,0.25,0.03
"2017-07-01","Indonesia","IDN","360","Asia","142","South-eastern Asia","35","25262000","Natrl Steatite Crushed/Powdered","Kgs",674,148.91,0.23
"2025-04-01","Kyrgyzstan","KGZ","417","Asia","142","Central Asia","143","83061000","Bells Gongs And The Like","Kgs",21,0,0
"2025-06-01","Malaysia","MYS","458","Asia","142","South-eastern Asia","35","39264039","Other Statuettes","Kgs",139,0.05,0.01
"2017-06-01","Sri Lanka","LKA","144","Asia","142","Southern Asia","34","48051900","Other Fluting Paper","Kgs",0.85,3.09,0
"2017-06-01","Israel","ISR","376","Asia","142","Western Asia","145","44140000","*Wooden Frames For Paintings Photographs Mirrors Or Similar Objects","Kgs",0.12,0.32,0
"2024-06-01","Nepal","NPL","524","Asia","142","Southern Asia","34","39206999","Other Pltes Shts Etc Of Othr Polyester Nes","Kgs",3150,0.07,0.01
"2018-11-01","Viet Nam","VNM","704","Asia","142","South-eastern Asia","35","85444220","Plstic Insltd Cndctrs Fr <= 1000V Fitted With Connectors","Mtr",0.3,0.9,0
"2017-01-01","Taiwan, Province of China","TWN","158","Asia","142","Eastern Asia","30","3055990","Other Dried N.E.S.Nt Smkd","Kgs",18.1,35.56,0.05
"2015-07-01","Bangladesh","BGD","50","Asia","142","Southern Asia","34","84482000","Prts And Accssrs Of Mchns Of Hdg No.8444/Of Their Auxlry Mchnry","Kgs",9.29,63.53,0.1
"2024-04-01","Qatar","QAT","634","Asia","142","Western Asia","145","7144000","Taro (Colocasia Spp.)","Kgs",1411,0.01,0
"2018-12-01","Nepal","NPL","524","Asia","142","Southern Asia","34","30049071","Captopril, Enalapril, Lisinopril, Perindopril And Ramipril","Kgs",0.32,18.79,0.03
"2024-04-01","Iraq","IRQ","368","Asia","142","Western Asia","145","9011119","Coffee Arabica Plantation Other Grade","Kgs",28020,1.3,0.16
"2020-11-01","Bhutan","BTN","64","Asia","142","Southern Asia","34","52095140","Furnishing Fabrics ( Excl Pile And Chenille Fabrics )","Sqm",4.99,0.79,0
"2021-03-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","33052000","Prpns For Permnt Waving Or Straightening","Kgs",0.37,1.95,0
"2019-02-01","Philippines","PHL","608","Asia","142","South-eastern Asia","35","84289020","Ash Handling Plants","Nos",0,29.76,0.04
"2025-10-01","Qatar","QAT","634","Asia","142","Western Asia","145","48092000","Self Copy Paper","Kgs",7236,0.09,0.01
"2024-09-01","Lebanon","LBN","422","Asia","142","Western Asia","145","40169330","Rubber Seals(Oil Seals,Etc)","Kgs",6,0,0
"2025-04-01","Japan","JPN","392","Asia","142","Eastern Asia","30","82151000","Sets Of Asortd Articls Contng One Article Plated Wth Precious Metal","Kgs",25,0,0
"2020-09-01","Qatar","QAT","634","Asia","142","Western Asia","145","2042200","Othr Cuts With Bon In Of Sheep, Frsh/Chld","Kgs",0.11,0.53,0
"2025-07-01","Qatar","QAT","634","Asia","142","Western Asia","145","84051090","Other Gas Generators","Nos",7,0.01,0
"2015-05-01","China","CHN","156","Asia","142","Eastern Asia","30","92089000","Articles Of Hdg 9208 Excl. Musical Boxes","Nos",0,0.65,0
"2017-10-01","Turkiye","TUR","792","Asia","142","Western Asia","145","40129049","Tyre Flaps Used In Other Vehicles","Kgs",1.64,2.95,0
"2016-12-01","Kuwait","KWT","414","Asia","142","Western Asia","145","73182990","Other Non-Threaded Articles N.E.S.","Kgs",6.21,15.06,0.02
"2017-03-01","Israel","ISR","376","Asia","142","Western Asia","145","39061090","Other Poly Metyl Methacrylates","Kgs",1.92,9.48,0.01
"2016-03-01","Lebanon","LBN","422","Asia","142","Western Asia","145","32042010","0Ptical Whitening Agents","Kgs",10,5.5,0.01
"2024-07-01","Bangladesh","BGD","50","Asia","142","Southern Asia","34","84388090","Others","Nos",13,1.6,0.19
"2020-09-01","Thailand","THA","764","Asia","142","South-eastern Asia","35","32081090","Others Based On Polyesters","Kgs",19.07,85.48,0.12
"2019-09-01","Saudi Arabia","SAU","682","Asia","142","Western Asia","145","30039021","Menthol Crystal","Kgs",0.2,3.91,0.01
"2016-03-01","Brunei Darussalam","BRN","96","Asia","142","South-eastern Asia","35","62034200","*Trousers Bib And Brace Overalls Breeches And Shorts Of Cotton For Mens And Boys","Nos",6.8,24.54,0.04
"2019-05-01","Lao People's Democratic Republic","LAO","418","Asia","142","South-eastern Asia","35","85030010","Parts Of Generators(Ac/Dc)","Kgs",0,164.64,0.24
"2017-07-01","Qatar","QAT","634","Asia","142","Western Asia","145","74091900","Other Plates,Sheets Etc Of Refined Copper","Kgs",20.76,69.92,0.11
"2016-05-01","Malaysia","MYS","458","Asia","142","South-eastern Asia","35","21039030","Majonnaise And Salad Dressings","Kgs",9.4,12.2,0.02
"2015-09-01","Hong Kong","HKG","344","Asia","142","Eastern Asia","30","9092200","Crushed Or Ground Coriander","Kgs",0.25,0.42,0
"2021-04-01","Iraq","IRQ","368","Asia","142","Western Asia","145","32041719","Others Pigment Yellow (Organic)","Kgs",10,20.17,0.03
"2017-05-01","Nepal","NPL","524","Asia","142","Southern Asia","34","30045036","Vitamin D In Tablets, Capsules, Syrup Et","Kgs",0.01,1.06,0
"2020-12-01","Georgia","GEO","268","Asia","142","Western Asia","145","9021010","Tea Green In Packets Nt Excdng 25 Grams","Kgs",0.36,0.78,0
"2018-10-01","Bhutan","BTN","64","Asia","142","Southern Asia","34","39261019","Office Supplies Excl Pins Clips Writing Instruments Of Other Make","Kgs",1.61,3.64,0
"2018-07-01","Hong Kong","HKG","344","Asia","142","Eastern Asia","30","52084230","Shirting Fabrics","Sqm",14.16,23.51,0.03
"2017-01-01","China","CHN","156","Asia","142","Eastern Asia","30","54024500","Othr Yarn Of Nylon/Othr Polymds,Untwstd Orwth A Twist <=50 Turns Per Mtr Single","Kgs",13.48,22.35,0.03
"2020-11-01","Qatar","QAT","634","Asia","142","Western Asia","145","90049090","0Thers","Kgs",0.49,18.03,0.02
"2018-06-01","Indonesia","IDN","360","Asia","142","South-eastern Asia","35","31043000","Potassium Sulphate","Kgs",0.01,0.02,""
"2016-10-01","Indonesia","IDN","360","Asia","142","South-eastern Asia","35","15131100","Coconut (Copra) Crude Oil And Fractions","Kgs",2328.92,2216.69,3.32
"2024-06-01","Turkiye","TUR","792","Asia","142","Western Asia","145","40094200","Tubes,Pipes,Andhoses Of Vulcnsd Rubr Reinforced Otherwse Combined With Other Matarials With Fittings","Kgs",2393,0.1,0.01
"2020-07-01","Saudi Arabia","SAU","682","Asia","142","Western Asia","145","61061000","Blouse Etc Of Cotton","Nos",39.36,106.87,0.14
"2021-03-01","Nepal","NPL","524","Asia","142","Southern Asia","34","7049000","Kohrbi,Kaleandsmlr Edbl Brassicas,Frsh/Chld","Kgs",26.46,2.87,0
"2017-03-01","Saudi Arabia","SAU","682","Asia","142","Western Asia","145","83079000","Flxbl Tubng Of Othr Bs Mtl Wth/Wthut Ftng","Kgs",0,0.08,0
"2021-02-01","Bangladesh","BGD","50","Asia","142","Southern Asia","34","28272000","Calcium Chloride","Kgs",0.8,0.44,0
"2025-09-01","Saudi Arabia","SAU","682","Asia","142","Western Asia","145","84811000","Pressure-Reducing Valves","Kgs",35853,9.88,1.12
"2021-08-01","Afghanistan","AFG","4","Asia","142","Southern Asia","34","84834000","Gears And Gearng,Excl Toothd Wheels,Trnsmsn Elmnts Prsntd Seprtly;Ball Scrws;Gear Boxsand Speed Chngrs,Incl Torque C","Nos",0.05,1.46,0
"2018-11-01","Qatar","QAT","634","Asia","142","Western Asia","145","85043100","Othr Trnsfrmrs Hvng A Pwr Hndlng Capacity Not Excdng 1 Kva","Nos",3.49,16.04,0.02
"2019-07-01","Bhutan","BTN","64","Asia","142","Southern Asia","34","14011000","Bamboos","Kgs",266,9.24,0.01
"2020-12-01","Singapore","SGP","702","Asia","142","South-eastern Asia","35","49030020","Childrens Drawing Or Colorng Books","Kgs",0,0.01,""
"2017-11-01","Malaysia","MYS","458","Asia","142","South-eastern Asia","35","19021900","Othr Uncookd Notstfd/Othrwse Prpd Psta","Kgs",2.38,4.07,0.01
"2024-09-01","Turkiye","TUR","792","Asia","142","Western Asia","145","84829113","Special Stainless Steel Balls","Kgs",8705,0.36,0.04
"2017-10-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","85432090","Others (E.G. Pattern Generator)","Nos",0.04,9.31,0.01
"2019-12-01","Nepal","NPL","524","Asia","142","Southern Asia","34","13012000","Gum Arabic","Kgs",14.04,11.5,0.02
"2019-12-01","Sri Lanka","LKA","144","Asia","142","Southern Asia","34","90189029","Othr Surgical Tools","Nos",0.99,24.61,0.03
"2025-07-01","Oman","OMN","512","Asia","142","Western Asia","145","32141000","Glaziers Putty, Grftng Putty Resin Cemnts,Caulkng Cmpds And Othr Mastics;Painters Fillings.","Kgs",2,0.01,0
"2016-12-01","Nepal","NPL","524","Asia","142","Southern Asia","34","40029920","Tread Rubr Com,Cushion Com,Cushion Gum/ Tread Gum For Resol/Repai/Retrea Rubr Tyre","Kgs",9.05,14.65,0.02
"2024-10-01","Myanmar","MMR","104","Asia","142","South-eastern Asia","35","87089100","Radiators","Kgs",388,0.04,0
"2015-03-01","Maldives","MDV","462","Asia","142","Southern Asia","34","33049930","Moisturising Lotion","Kgs",3.02,16.47,0.03
"2024-09-01","Japan","JPN","392","Asia","142","Eastern Asia","30","42022910","Hnbgs Of Othr Mtrls Excl Wkrwrk/Bskt Wrk","Nos",389,0.05,0.01
"2019-07-01","Nepal","NPL","524","Asia","142","Southern Asia","34","28011000","Chlorine","Kgs",43,4,0.01
"2024-07-01","Nepal","NPL","524","Asia","142","Southern Asia","34","83024900","Other Mounting Fittings Etc Nes","Kgs",5239,0.85,0.1
"2018-02-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","52122300","Othr Dyed Wovn Fbrcs Wghng >200 G/M2","Sqm",10.92,25.94,0.04
"2018-08-01","Islamic Republic of Iran","IRN","364","Asia","142","Southern Asia","34","33059011","Perfumed Hair Oil","Kgs",2.39,4.02,0.01
"2016-03-01","Viet Nam","VNM","704","Asia","142","South-eastern Asia","35","29209020","*Dimethyl Sulphate","Kgs",100,33.9,0.05
"2015-01-01","Viet Nam","VNM","704","Asia","142","South-eastern Asia","35","39079990","*Other Polyesters (Saturated) Nes","Kgs",4.87,6.98,0.01
"2017-03-01","Uzbekistan","UZB","860","Asia","142","Central Asia","143","84145990","Others","Nos",0,0.07,""
